No.of packets,coverage
1 ,0.42
2 ,0.83
3 ,1.25
4 ,1.67
5 ,2.08
6 ,2.5
7 ,2.92
8 ,3.33
9 ,3.75
10 ,4.17
11 ,4.58
12 ,5.0
13 ,5.42
14 ,5.83
15 ,6.25
16 ,6.67
17 ,7.08
18 ,7.5
19 ,7.92
20 ,7.92
21 ,8.33
22 ,8.75
23 ,9.17
24 ,9.58
25 ,9.58
26 ,10.0
27 ,10.42
28 ,10.83
29 ,11.25
30 ,11.67
31 ,12.08
32 ,12.5
33 ,12.92
34 ,13.33
35 ,13.75
36 ,14.17
37 ,14.58
38 ,15.0
39 ,15.42
40 ,15.42
41 ,15.83
42 ,15.83
43 ,16.25
44 ,16.25
45 ,16.67
46 ,17.08
47 ,17.5
48 ,17.92
49 ,18.33
50 ,18.75
51 ,18.75
52 ,19.17
53 ,19.58
54 ,20.0
55 ,20.0
56 ,20.42
57 ,20.83
58 ,21.25
59 ,21.25
60 ,21.25
61 ,21.67
62 ,22.08
63 ,22.08
64 ,22.08
65 ,22.08
66 ,22.08
67 ,22.08
68 ,22.5
69 ,22.5
70 ,22.92
71 ,23.33
72 ,23.75
73 ,24.17
74 ,24.58
75 ,25.0
76 ,25.42
77 ,25.83
78 ,26.25
79 ,26.25
80 ,26.67
81 ,27.08
82 ,27.08
83 ,27.08
84 ,27.08
85 ,27.5
86 ,27.92
87 ,28.33
88 ,28.75
89 ,28.75
90 ,29.17
91 ,29.58
92 ,29.58
93 ,30.0
94 ,30.0
95 ,30.42
96 ,30.42
97 ,30.83
98 ,31.25
99 ,31.25
100 ,31.67
101 ,31.67
102 ,32.08
103 ,32.5
104 ,32.5
105 ,32.92
106 ,33.33
107 ,33.75
108 ,34.17
109 ,34.58
110 ,35.0
111 ,35.42
112 ,35.42
113 ,35.42
114 ,35.83
115 ,35.83
116 ,35.83
117 ,35.83
118 ,35.83
119 ,36.25
120 ,36.25
121 ,36.25
122 ,36.67
123 ,37.08
124 ,37.08
125 ,37.5
126 ,37.92
127 ,38.33
128 ,38.75
129 ,39.17
130 ,39.58
131 ,39.58
132 ,40.0
133 ,40.42
134 ,40.83
135 ,41.25
136 ,41.67
137 ,41.67
138 ,42.08
139 ,42.5
140 ,42.5
141 ,42.5
142 ,42.5
143 ,42.5
144 ,42.92
145 ,43.33
146 ,43.75
147 ,43.75
148 ,44.17
149 ,44.58
150 ,44.58
151 ,45.0
152 ,45.42
153 ,45.42
154 ,45.83
155 ,45.83
156 ,46.25
157 ,46.25
158 ,46.67
159 ,47.08
160 ,47.08
161 ,47.08
162 ,47.08
163 ,47.08
164 ,47.08
165 ,47.5
166 ,47.5
167 ,47.5
168 ,47.5
169 ,47.92
170 ,48.33
171 ,48.33
172 ,48.33
173 ,48.33
174 ,48.75
175 ,49.17
176 ,49.58
177 ,49.58
178 ,49.58
179 ,49.58
180 ,50.0
181 ,50.42
182 ,50.83
183 ,50.83
184 ,51.25
185 ,51.25
