No.of packets,coverage
1 ,0.42
2 ,0.83
3 ,1.25
4 ,1.67
5 ,2.08
6 ,2.5
7 ,2.92
8 ,3.33
9 ,3.75
10 ,4.17
11 ,4.58
12 ,5.0
13 ,5.42
14 ,5.83
15 ,6.25
16 ,6.67
17 ,7.08
18 ,7.5
19 ,7.92
20 ,8.33
21 ,8.75
22 ,9.17
23 ,9.58
24 ,9.58
25 ,9.58
26 ,9.58
27 ,10.0
28 ,10.0
29 ,10.42
30 ,10.83
31 ,11.25
32 ,11.67
33 ,12.08
34 ,12.5
35 ,12.92
36 ,13.33
37 ,13.75
38 ,14.17
39 ,14.58
40 ,15.0
41 ,15.42
42 ,15.83
43 ,16.25
44 ,16.67
45 ,16.67
46 ,17.08
47 ,17.5
48 ,17.92
49 ,18.33
50 ,18.75
51 ,19.17
52 ,19.58
53 ,20.0
54 ,20.42
55 ,20.83
56 ,21.25
57 ,21.67
58 ,21.67
59 ,21.67
60 ,21.67
61 ,22.08
62 ,22.08
63 ,22.5
64 ,22.5
65 ,22.92
66 ,22.92
67 ,22.92
68 ,23.33
69 ,23.33
70 ,23.33
71 ,23.33
72 ,23.75
73 ,24.17
74 ,24.58
75 ,25.0
76 ,25.42
77 ,25.83
78 ,25.83
79 ,26.25
80 ,26.67
81 ,27.08
82 ,27.08
83 ,27.5
84 ,27.92
85 ,28.33
86 ,28.75
87 ,29.17
88 ,29.17
89 ,29.58
90 ,29.58
91 ,30.0
92 ,30.42
93 ,30.42
94 ,30.83
95 ,31.25
96 ,31.67
97 ,32.08
98 ,32.08
99 ,32.08
100 ,32.5
101 ,32.92
102 ,33.33
103 ,33.33
104 ,33.75
105 ,33.75
106 ,33.75
107 ,34.17
108 ,34.58
109 ,34.58
110 ,35.0
111 ,35.0
112 ,35.42
113 ,35.42
114 ,35.83
115 ,36.25
116 ,36.25
117 ,36.25
118 ,36.67
119 ,37.08
120 ,37.5
121 ,37.92
122 ,38.33
123 ,38.33
124 ,38.75
125 ,39.17
126 ,39.17
127 ,39.17
128 ,39.58
129 ,40.0
130 ,40.0
131 ,40.42
132 ,40.83
133 ,40.83
134 ,40.83
135 ,40.83
136 ,40.83
137 ,41.25
138 ,41.67
139 ,42.08
140 ,42.08
141 ,42.08
142 ,42.5
143 ,42.92
144 ,43.33
145 ,43.33
146 ,43.33
147 ,43.75
148 ,43.75
149 ,44.17
150 ,44.58
151 ,44.58
152 ,45.0
153 ,45.0
154 ,45.42
155 ,45.42
156 ,45.83
157 ,45.83
158 ,46.25
159 ,46.67
160 ,46.67
161 ,47.08
162 ,47.5
163 ,47.92
164 ,47.92
165 ,47.92
166 ,47.92
167 ,47.92
168 ,47.92
169 ,48.33
170 ,48.33
171 ,48.75
172 ,48.75
173 ,49.17
174 ,49.17
175 ,49.58
176 ,49.58
177 ,50.0
178 ,50.0
179 ,50.0
180 ,50.42
181 ,50.42
182 ,50.42
183 ,50.42
184 ,50.83
185 ,51.25
